
TimeEdit,Linköpings universitet
"Asgård, Asgård,Bakdörren, Bakdörren,Brandväggen, Brandväggen,Egypten, Egypten,Multicore, Multicore,Olympen, Olympen,Resistorn, Resistorn,SU00, SU00,SU01, SU01,SU02, SU02,SU03, SU03,SU04, SU04,SU10, SU10,SU11, SU11,SU12, SU12,SU13, SU13,SU14, SU14,SU15/16, SU15/16,SU17/18, SU17/18 + SU24, SU24,SU25, SU25,Vippan, Vippan",2026-03-02 - 2026-03-08 v 10 v 10-v 10 Mån-Fre,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Undervisningstyp,Lokal,Kartlänk,Lärare,Studentgrupp,Fria grupper,Information till student,Kartlänk 
2026-03-03,15:15,2026-03-03,17:00,TAOP62,Laboration,"SU15/16,SU17/18","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A472,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A484","Jan Rolfes,Sachin Rajendran,Stefan Engevall",I2,,Anmälan till ETT pass denna vecka sker på LISAM.,
2026-03-03,15:15,2026-03-03,17:00,TDDE30,Redovisning,SU04,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A464,"Kasper Forsgard,Kevin Magron,Vilgot Johansen",D1,,Enbart labbdemonstrationer. Kom i tid!,
2026-03-03,15:15,2026-03-03,19:00,"TDDE47,TDDE68",Laboration,"SU12,SU13","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A466,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3B%3A461F",Animesh Thakur,"CS1,D2,U2",Grupp C,,
2026-03-03,15:15,2026-03-03,19:00,"TDDE47,TDDE68",Laboration,"SU24,SU25","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A521,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A527",Máté Földiák,IT2,Grupp F,,
2026-03-03,17:15,2026-03-03,19:00,TAOP62,Laboration,"SU15/16,SU17/18","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A472,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A484","Jan Rolfes,Sachin Rajendran,Stefan Engevall",I2,,Anmälan till ETT pass denna vecka sker på LISAM.,
2026-03-03,17:15,2026-03-03,21:00,TSRT09,Laboration,Vippan,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A509,,,,LAB 2 17-19: with Lab Assistant 19-21: no Lab Assistant,
2026-03-03,17:30,2026-03-03,19:15,"91MA32,92MA32",Programmeringsstuga,SU04,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A464,Karl-Erik Gladysz,"Ä79T2ma,Ä79T4ma,ÄGYT2ma,ÄGYT4ma",,,
2026-03-04,07:00,2026-03-04,12:00,,Datortenta,"SU02,SU10,SU11,SU12,SU13,SU14","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A460,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3D%3A468,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A469,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A466,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3B%3A461F,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3B%3A469",,,,,
2026-03-04,08:00,2026-03-04,09:45,"91MA32,92MA32,TDDE67,TDDE75",Problemlösningspass,"SU15/16,SU17/18,SU24,SU25,T1","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A472,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A484,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A521,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A527,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007003%3A2T1","Torbjörn Jonsson,Viktor Olsson","I1,KA2,Ä79T2ma,Ä79T4ma,ÄGYT2ma,ÄGYT4ma",,,
2026-03-04,08:15,2026-03-04,10:00,TDDD80,Laboration,"Asgård,Egypten,Multicore,Vippan","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A224,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A234,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A327%3A197,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A509",,U1,"Grupp 1,Grupp 2,Grupp 3,Grupp 4",La: ej handledd. Datorplatser reserverade för eget arbete.,
2026-03-04,10:15,2026-03-04,12:00,TANA15,Laboration,SU15/16,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A472,Patrick Ersing,MMAT1,,,
2026-03-04,10:15,2026-03-04,12:00,TAOP88,Laboration,Resistorn,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A532,Björn Morén,,"Grupp M4,Grupp U4",La 4,
2026-03-04,10:15,2026-03-04,12:00,TDDE77,Datalaboration,SU24,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A521,Sebastian Mair,D3,,,
2026-03-04,10:15,2026-03-04,12:00,TDDE77,Datalaboration,SU25,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A527,Erik Larsson,D3,,cancelled,
2026-03-04,10:15,2026-03-04,12:00,TDTS07,Laboration,"SU00,SU01","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A447,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A446",Xiaopeng Teng,"CS1,ELE1",,,
2026-03-04,13:15,2026-03-04,15:00,TDDE09,Projekt,Egypten,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A234,,"CS1,DSI1",,Project work,
2026-03-04,13:15,2026-03-04,15:00,TDDE30,Laboration,"SU12,SU15/16,SU17/18","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A466,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A472,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A484","Kasper Forsgard,Kevin Magron,Vilgot Johansen",D1,,,
2026-03-04,13:15,2026-03-04,15:00,TDDE44,Lektion,"SU00,SU01","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A447,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A446","Alva Söderlind,Sara Collet,Simon Ekman",MED1,,"Lektion 4, inför lab 4.",
2026-03-04,13:15,2026-03-04,15:00,TDDE44,Lektion,"SU02,SU03","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A460,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A459","Kacper Mateusz Sieklucki,Wiktor Liew",Y1.b,,"Lektion 4, inför lab 4.",
2026-03-04,13:15,2026-03-04,15:00,TDDE44,Lektion,SU04,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A464,"Andreas Stenmark,Jakob Arnell Larsen",Y1.a,,"Lektion 4, inför lab 4.",
2026-03-04,13:15,2026-03-04,15:00,TDDE44,Lektion,"Multicore,SU10","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A327%3A197,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3D%3A468","Christopher Claesson,Soshyant Youssefi",TMA1,,"Lektion 4, inför lab 4.",
2026-03-04,13:15,2026-03-04,15:00,TDDE44,Lektion,"SU13,SU14","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3B%3A461F,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3B%3A469","Anh Truong,Dag Jönsson",Y1.c,,"Lektion 4, inför lab 4.",
2026-03-04,13:15,2026-03-04,15:00,"729G86,729G86,TDP030",Laboration,Olympen,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A202,,"IP3,KOGVET2",,Project work,
2026-03-04,13:15,2026-03-04,15:00,TDTS04,Laboration,SU24,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A521,Mohammad Borhani,"DI2,IP1",Grupp A,Labb 7: TLS,
2026-03-04,13:15,2026-03-04,15:00,TDTS04,Laboration,SU25,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A527,Suleman Khan,"DI2,IP1",Grupp B,Labb 7: TLS,
2026-03-04,13:15,2026-03-04,15:00,TDTS04,Laboration,Vippan,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A509,Ethan Witwer,"DI2,IP1",Grupp C,Labb 7: TLS,
2026-03-04,13:15,2026-03-04,15:00,TDTS11,Laboration,"Bakdörren,Brandväggen","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A501B,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A513B",Gurjot Singh,IT1,,Lab 8,
2026-03-04,15:15,2026-03-04,17:00,TAOP07,Laboration,SU17/18,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A484,Gunnar Lidestam,Y2.c,,"Laboration 3, handledning",
2026-03-04,15:15,2026-03-04,17:00,TDDD25,Laboration,SU04,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A464,Anders Märak Leffler,"CS1,CYS1,ELE1",,,
2026-03-04,15:15,2026-03-04,17:00,TDDD78,Programmeringsstuga,SU10,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3D%3A468,,U1,,,
2026-03-04,15:15,2026-03-04,17:00,TDDE09,Projekt,Egypten,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A234,,"CS1,DSI1",,Project work,
2026-03-04,15:15,2026-03-04,17:00,TDDE44,Laboration,Olympen,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A202,"Anh Truong,Dag Jönsson",Y1.c,,Labbtillfälle 4.1,
2026-03-04,15:15,2026-03-04,17:00,TDDE44,Laboration,"SU00,SU01","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A447,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A446","Kacper Mateusz Sieklucki,Wiktor Liew",Y1.b,,Labbtillfälle 4.1,
2026-03-04,15:15,2026-03-04,17:00,TDDE44,Laboration,"SU02,SU03","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A460,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A459","Andreas Stenmark,Jakob Arnell Larsen",Y1.a,,Labbtillfälle 4.1,
2026-03-04,15:15,2026-03-04,17:00,TDDE44,Laboration,"SU11,SU12","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A469,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A466","Christopher Claesson,Soshyant Youssefi",TMA1,,Labbtillfälle 4.1,
